"","x"
"164","ディストリビュータのパッキンの組付け指示が不適切なため、換気孔のない誤ったパッキンが装着されたものがある。そのため、そのままの状態で使用を続けると、ディストリビュータ内部に硝酸が生成され、内部が腐蝕することにより絶縁抵抗が低下し、最悪の場合、点火異常で走行中エンストするおそれがある。"
"165","変速モード切り替えスイッチ配線の配線経路が不適切なため、当該配線の端子部分の裸線が、操作レバーと干渉することがある。そのため、干渉した場合、当該配線がショートし、ヒューズが切れ、変速ショックが生じ、変速位置表示灯、後退灯が不灯となるおそれがある。"
"166","車枠の組付け作業が不適切なため、クロスメンバーの剛性を向上させるステーが未装着のものがある。そのため、そのままの状態で使用を続けると、クロスメンバーに亀裂が生じるおそれがある。"
"167","後部扉用アクティブパワーロック装置用ケーブルの防水性が不十分なため、当該ケーブル内に水が浸入し、錆が発生することがある。そのため、当該ケーブルの摺動抵抗が大きくなり、後部扉ドアハンドルの操作力が増大し、最悪の場合、後部扉が開かなくなるおそれがある。"
"168","ステアリングのジョイントシャフトのパワステユニットへの挿入作業が不適切なため、当該シャフトと当該ユニットとの噛み合い代が不十分なものがある。そのためそのまま使用を続けると、当該シャフトが摩耗して噛み合わなくなり、ハンドル操作ができなくなるおそれがある。"
"169","トランスミッションの上側にあるチェンジシフトアームの強度が不足しているものがあるため、シフトレバーを操作した際にチェンジシフトアームが折れることがある。そのため、シフトレバーを操作しても変速できなくなり、最悪の場合、折れた先端部がギヤにかみ込み、トランスミッションが破損し走行できなくなるおそれがある。かじ取装置のドラッグアームシャフトの前と後の取付部のボルトの締付力の不足、及びネジロック液の塗布不良のものがあるため、取付部のボルトが緩むことがある。そのため、そのまま使用を続けると、取付部のボルトが外れ、ハンドル操作ができなくなるおそれがある。"
"170","トランスミッションへの車速センサ取り付け方法が不適切なため、走行中の振動等により、当該センサ内部の抵抗器リード線が断線するものがある。そのため、車速センサが車速信号を正常に発信しなくなり、速度計・運行記録計の指示不良、トランスミッション自動変速機構の作動不良等が発生するおそれがある。"
"171","３列席仕様の車両において、第２列席の中央席用シートベルトバックルに異品を組付けたものがあるため、当該席の座席ベルトを装着することができないおそれがある。"
"172","手動変速機付車のギヤシフトコントロールケーブルのインナーケーブルの強度が不足しているため、急激なギヤシフト操作を行なうと、当該インナーケーブルが変形することがある。そのため、そのまま使用を続けると、当該インナーケーブルが折損し、シフト操作ができなくなるおそれがある。"
"173","前後輪において、アルミ製スピードセンサパネルにスペーサを圧入する作業が不適切なため、圧入した際に当該パネルからアルミ片が発生したものがあり、走行中の振動等により当該アルミ片が当該パネルとホイールの間にあるＡＢＳセンサの部屋内に脱落して留まっていることがある。そのため、ブレーキの多使用等によりホイールの温度が上昇した状態でアルミ片が当該パネルとホイールの間に挟まった場合、当該アルミ片が当該隙間部で一時的に固着し、ホイールが円滑に回転しなくなり、最悪の場合、当該パネルがホイールと固着してパネルが回転し、ＡＢＳセンサが周辺部品と接触して破損し、警告灯が点灯してＡＢＳが機能しなくなるおそれがある。"
"174","圧縮天然ガス車の燃料減圧装置（レギュレータ）において、高圧側減圧器内部のバルブシート部の寸法およびオーリングの硬度が不適切なため、当該オーリングが変形又は破損することがある。そのため、燃料ガスが高圧のまま低圧側減圧器に流出し、安全弁から外部に漏れるおそれがある。"
"175","インストルメントパネル内部の電気配線の取りまわしが不適切なため、ワイパー作動時にワイパーリンクと当該配線が干渉するものがある。そのため、そのままの状態で使用を続けると、当該配線が損傷し、最悪の場合、ウォーニングランプが誤点灯する、又はスタータが誤作動し焼損して、エンジンが始動出来なくなるおそれがある。"
"176","トランスミッション変速用ケーブルの取りまわしにおいて、当該ケーブルを中間でクランプする固定金具の構造が不適切なため、クランプの取付角度の不良によって、当該ケーブルが局部的に屈曲しているものがある。そのため、そのままの状態で使用を続けると、当該ケーブル内部のワイヤが疲労折損し、変速操作が出来なくなるおそれがある。"
"177","トランスミッション変速用ケーブルの取りまわしにおいて、当該ケーブルを中間でクランプする固定金具の構造が不適切なため、クランプの取付角度の不良によって、当該ケーブルが局部的に屈曲しているものがある。そのため、そのままの状態で使用を続けると、当該ケーブル内部のワイヤが疲労折損し、変速操作が出来なくなるおそれがある。"
"178","後輪ブレーキのマスターシリンダーとブレーキペダルを継ぐピロボールジョイントホルダーの材質が不適切なため、凍結防止剤等を含んだ水で被水すると当該ジョイントホルダーのアルミ材が腐食し、内部のピロボールの動きが渋くなるものがある。そのため、そのまま使用を続けると、ジョイントホルダーとピロボールが固着してブレーキペダルを操作できなくなるおそれがある。または、ジョイントホルダーとピロボールが固着した状態でブレーキペダルに強い力が働くと、ジョイントホルダーが破損し、ブレーキ操作ができなくなるおそれがある。"
"179","燃料タンクへ接続する燃料ホースのコネクターの形状が不適切なため、当該コネクターの取り付けを誤ると、走行中に破損することがある。そのため、そのままの状態で使用を続けると、燃料が流出し、最悪の場合、火災に至るおそれがある。"
"180","フロントハブの強度が不足しているため、旋回頻度の高い走行を繰り返した場合などに、ハブのフランジ部の付け根付近に亀裂が発生するものがある。また、整備状況、積載条件などの要因が重なると、この亀裂の発生が早まる可能性がある。このため、そのままの状態で使用を続けると亀裂が進行し、最悪の場合、当該部分が破断して車輪が脱落するおそれがある。"
"181","原動機制御コンピュータのプログラムが不適切なため、燃料蒸発ガスを供給した場合、空燃比が薄くなって排気温度が上昇する。そのため、前側の触媒内部が高温の排気ガスを繰り返し受けて熱劣化し、当該触媒が損傷するおそれがある。"
"182","二輪四輪操舵切替装置を上下2ヶ所で支持しているキングピンの溶接が不適切なため、ピンとフランジの溶接部に亀裂が発生するものがある。そのため、そのまま使用を続けると、フランジからピンが脱落しハンドル操作ができなくなるおそれがある。ステアリングリンケージのピンを固定しているボルトの締付力が不足しているものがあり、当該ボルトが緩むことがある。そのため、そのまま使用を続けると、ボルトが脱落し、最悪の場合、当該ピンが脱落し、ハンドル操作ができなくなるおそれがある。ナックルアームのピンの耐久性が不足しているため、当該ピンが磨耗するものがある。そのため、そのまま使用を続けると、ハンドルにガタが発生し、走行安定性が損なわれるおそれがある。乗車装置において、座席をキャビンに固定しているブラケットのモールドが不十分なため、当該モールドが剥れるものがある。そのため、座席が後ろに傾くおそれがある。"
"183","フロントカムシャフトギヤ固定ボルトの表面加工が不適切なため、当該ボルトがゆるむことがある。そのため、そのまま使用を続けると、カムシャフトギヤがゆるみ、最悪の場合、バルブタイミングがずれて、原動機が損傷するおそれがある。"
"184","アクスルシャフトの強度が不足しているため、長期間の使用により亀裂が発生するものがある。そのため、そのまま使用を続けると、最悪の場合、アクスルシャフトが折損して走行不能にいたるおそれがある。"
"185","後２軸トラックの後後軸（非駆動軸）ブレーキドラム裏側に装着されている泥水浸入防止板（ダストカバー）の形状が不適切なため、雨天時等に泥水がブレーキドラム内に浸入しブレーキのホイールシリンダを伝って内側のハブオイルシールリテーナ部へ滴下する。そのため、そのままの状態で使用を続けるとリテーナに錆が発生して、オイルシールが摩耗し、ハブ内に水が浸入して、最悪の場合、ハブベアリングが焼付いて、車両火災、あるいは脱輪に至るおそれがある。"
"186","プレッシャーレギュレータ（燃料圧力調整装置）用の負圧ホースの取り回しが不適切なため、走行中にインテークマニホールド内で発生した水滴が負圧ホースからプレッシャーレギュレータ内に浸入することがある。そのため、極低温下でエンジンを停止した場合、浸入した水滴が凍結してプレッシャーレギュレータが作動しなくなり、最悪の場合、エンジンを始動するとフューエルホースとフューエルパイプの接合部から燃料が漏れるおそれがある。"
"187","ブローバイガスを吸気管に導くＰＣＶホースの形状が不適切なため、エンジンの負圧変動により当該ホースが伸縮する。そのため、そのまま使用を続けると、ブローバイガスまたはオゾンの影響で発生する微細な亀裂が進行し、当該ホースが破損するおそれがある。"
"188","窓拭器の作動装置に内蔵されている間欠作動用リレーの接点の耐久性が不足しているため、間欠作動での使用を繰り返した場合、接点が摩耗して、その一部が脱落することがある。そのため、脱落した接点が接点間に挟まり短絡して、窓拭器の作動が不能になるとともに、最悪の場合、窓拭器の作動装置が発火するおそれがある。"
"189","揺動用のセンターピンのベアリングナットの緩み止め構造及び締め付けトルクの設定が不適切なため、走行中に揺動した場合、ベアリングナットの緩み止め用ベアリングワッシャがスペーサとともに動き、当該ワッシャの爪部が破損し、ベアリングナットが緩むものがある。そのため、そのまま使用を続けると、ベアリングナットが脱落し、最悪の場合、前後フレームが離脱するおそれがある。前後進の操作用レバーのコントロールケーブル周辺の油圧ホースの固定位置が不適切なものがあるため、右左折時に当該ケーブルが油圧ホースと干渉することがある。そのため、そのまま使用を続けると、当該ケーブルのかしめ部が破損し、操作用レバーを操作しても、後進走行ができなくなるおそれがある。"
"190","車両の電気装置の電源を制御するビルトインシステムインターフェースのプログラムが不適切なため、リモートコントロールキーでドアロックを作動させるとホーンが作動し、止まらなくなることがある。車両後部のリヤスポイラー取り付けボルト及びワッシャーが不適切なため、走行中の振動によってボルトが緩み、当該スポイラーがばたつく音が発生するものがある。そのため、そのまま走行を続けると、最悪の場合、当該スポイラーが脱落するおそれがある。エンジンコントロールユニットのプログラムが不適切なため、スロットルバルブの閉じた位置で、当該バルブの振幅が大きく、電子スロットルモータのストッパーが破損することがある。そのため、エンジン制御がエマージェンシーモードになり、ブレーキ倍力装置に供給される負圧が減少し、ブレーキペダルの踏力が通常より重くなるおそれがある。"
"191","中型トラックの手動式キャブチルトにおいて、キャブフックと周辺部品の隙間が不適切なため、キャブを降ろした際にキャブフックが周辺部品と干渉し、キャブフック取付部が損傷するものがある。そのため、そのままの状態でロック操作を実施するとキャブが正しくロックされず、最悪の場合、走行中にキャブがチルトするおそれがある。"
"192","車両前部の車枠と車体間の電気配線において、低温時の車体上下動に対する当該配線被覆材の耐久性が不足しているため、走行時の車両振動等により、当該配線の被覆に亀裂が入るものがある。そのため、そのままの状態で使用を続けると、被覆が損傷して芯線が腐食断線し、最悪の場合、灯火類が点灯しなくなる、又は、エンジンが停止して再始動不能となるおそれがある。"
"193","高輝度放電灯式前照灯の左側ヘッドランプでハウジングにレンズを取り付ける組み立て治具の寸法が不適切なため、ヘッドランプ組み立て後にレンズとハウジングのシール位置がずれ、ヘッドライトの点灯・消灯の繰り返しを行うと、シール部が部分的に剥がれて雨天走行時等にヘッドランプ内に水が浸入するものがある。そのため、浸入した水がヘッドランプ内下部に取り付けられているコントロールユニットに入ると電圧制御回路が短絡して、前照灯が点灯しなくなるおそれがある。トランク内に取り付けている電気配線の保護方法が不適切なため、電気配線を車体へ留めるハーネスバンドクリップ部で屈曲が強くなり、トランクリッド開閉の繰り返しにより電気配線の保護テーピングが損傷するものがある。そのため、そのまま使用を続けると、配線の芯線が断線し、番号灯や後退灯、および尾灯が点灯しなくなるおそれがある。"
"194","パワステアリングユニットへの油圧供給ホースの固定が不適切なため、走行中の振動等により、当該ホースが車体と干渉するものがある。そのため、そのまま使用を続けると、当該ホースが擦れて穴が開きオイルが洩れ、最悪の場合、ハンドル操作ができなくなるおそれがある。"
"195","エンジンコントロールユニットのプログラムが不適切なため、スロットルバルブの閉じた位置で、当該バルブの振幅が大きく、電子スロットルモータのストッパーが破損することがある。そのため、エンジン制御がエマージェンシーモードになり、ブレーキ倍力装置に供給される負圧が減少し、ブレーキペダルの踏力が通常より重くなるおそれがある。タイミングベルトカバー回りの燃料供給配管の取付けが不適切なため、当該配管とベイパーパイプとが交差しているものがある。そのため、走行中の振動で擦れ合い、長期間の使用により当該配管とベイパーパイプが摩滅すると燃料漏れに至るおそれがある。フロントサスペンションロアアームボールジョイントをナックルアームに取り付けるボールジョイントのネジ部に締め付けトルクが不十分なものがあるため、走行中の振動等によって当該ネジが緩むことがある。そのため、そのまま使用を続けると車軸がずれて走行不能に至るおそれがある。"
"196","四輪駆動車のパワーステアリング用油圧配管の組付けが不適切なため、エンジンの振動等により配管同士が接触して損傷することがある。そのため、パワーステアリングの作動油が漏れてハンドルの操作力が増大し、最悪の場合、漏れた作動油が排気管に付着して火災に至るおそれがある。"
"197","原動機冷却用電動ファンモーターの制御装置内の基盤のはんだが不適切なため、エンジンルーム内の熱等により当該はんだに亀裂が生じ、制御装置内の回路が短絡して過電流が発生することがある。そのため、当該基盤部が過熱して溶損し、最悪の場合、火災に至るおそれがある。"
"198","サスペンションに取付けられた摺動板の座面の形状が不適切なため、走行中に受けるリーフスプリングからの力により、当該摺動板を取付けているボルトが折損することがある。そのため、そのまま使用を続けると、当該摺動板が脱落し、他の交通の安全を妨げるおそれがある。"
"199","圧縮天然ガス車の燃料減圧装置（レギュレータ）において、高圧側減圧器内部のバルブシート部の寸法およびオーリングの硬度が不適切なため、当該オーリングが変形又は破損することがある。そのため、燃料ガスが高圧のまま低圧側減圧器に流出し、安全弁から外部に漏れるおそれがある。"
"200","高輝度放電灯式前照灯のレンズとハウジングをシールするメルト材が不適切なため、メルト材が走行時の繰り返し振動を吸収できず、シール部が部分的に剥がれて雨天走行時等にヘッドランプ内に水が浸入するものがある。そのため、浸入した水がヘッドランプ内下部に取り付けられているコントロールユニットに入ると電圧制御回路が短絡して、前照灯が点灯しなくなるおそれがある。"
"201","コモンレール式燃料噴射装置において、フローダンパ（流量を制限する部品）の強度が不足しているため、燃料噴射時の燃料圧力の繰り返しにより、フローダンパの噴射パイプ取付け部に亀裂が生じるものがある。そのため、そのまま使用を続けると、亀裂が進行し燃料が漏れ、最悪の場合、火災に至るおそれがある。"
"202","スライド式側扉のセンターローラーブラケットに組み込まれているローラーの耐久性が不足している為、当該ローラーが磨耗しシャフトが露出した状態で開閉を続けると、シャフトの磨耗及び変形を起こし、当該扉を開けた時にセンターレールブラケットがレールから外れ、扉が脱落するおそれがある。"
"203","変速機下部に取り付けられたシフトポジションセンサーの後退灯用スイッチにおいて、内部接点の炭化により接触不良を起こすものがあるため、そのまま使用を続けると、リバースレンジ　（後退）　に変速した際に正常に通電されず、後退灯が点灯しなくなるおそれがある。"
"204","ブレーキマスターシリンダの内部金具の洗浄が不適切なため、シリンダ後端のゴム製シール取付け溝部に錆が発生し、シール不良となるものがある。そのため、そのまま使用を続けると、当該シール部より制動液が漏れるおそれがある。また、制動液に微量の空気が入り込み、制動停止距離が伸びるおそれがある。"
"205","コネクティングロッドベアリングの材質が不適切なため、使用過程における耐久性が不十分となり、当該部位に早期摩耗が発生する。そのため、そのままの状態で使用を続けると、当該部位が過熱して打音等が発生し、最悪の場合、原動機が停止し、再始動できなくなるおそれがある。"
"206","エアバッグ コントロールユニットのソフトウェアが不適切なため、前席シートの着座センサーが乗員の着座を感知できない場合があり、事故等の衝突時、助手席エアバッグが作動しないおそれがある。"
"207","ターボチャージャー付手動変速機車両において、エンジン吸気バルブ開閉タイミングを油圧で制御するためのオイルコントロールバルブ（ＯＣＶ）のカバー締付ボルトの軸力が低いため、高負荷高回転を継続して使用した場合、エンジン内部の負圧が増大し、ＯＣＶのガスケットの変形により当該ボルトの軸力が更に低下することがある。そのため、当該ボルトが緩みエンジンオイルが漏れ、最悪の場合、火災に至るおそれがある。"
"208","前輪独立懸架車の走行装置において、前輪ハブ内側軸受け部の水浸入防止構造が不適切なため、当該軸受け内部に泥水が浸入して錆付き・摩耗が生じるものがある。そのため、そのままの状態で使用を続けると、車体振動・異音が発生し、最悪の場合、当該軸受けが破損し、走行不能となるおそれがある。"
"209","大型路線バスの始動装置において、フライホイールリングギヤの硬度及びスタータマグネチックスイッチ起動回路の配線長さが不適切なため、始動操作時にスタータピニオンがフライホイールリングギヤに衝突干渉し、噛合い不良からギヤ端部が欠損、損傷することがある。そのため、エンジンの始動が困難あるいは不能となり､始動操作を繰返し行なうと、最悪の場合、火災になるおそれがある。"
"210","消音器（マフラ）において、排気圧力に対する剛性が不足しており、また、マフラ内部の溶接が不十分なため、そのままの状態で使用を続けると、溶接部が破損して排気ガスが漏れ、排気熱により周辺の部品が溶損し、最悪の場合、火災に至るおそれがある。"
"211","自動変速機作動油冷却回路中のオイルホースの耐熱性が不足しているため、登坂時等で変速機作動油温が過度に上昇した場合、当該ホースが劣化損傷してオイル漏れが発生し、最悪の場合、火災に至るおそれがある。自動変速機電子制御ユニットのプログラムが不適切なため、また、自動変速機の作動油冷却装置が電動ファン式の車両においては、電動ファン作動用油温センサーのコネクターへの挿入深さが不適切なため、走行条件により変速機作動油温が過度に上昇する場合がある。そのため、警告灯が点灯するが、そのままの状態で走行を続けた場合、作動油の潤滑能力が低下するため、当該変速機内部の回転部品が磨耗損傷して、駆動力が低下し、最悪の場合、走行不能となるおそれがある。"
"212","後面に設けている非常扉のロックシステムにおいて、キャッチと噛み合うロックをもどすばねの押しもどし力の設定及びウェザーストリップの反力が不適切なため、扉をゆっくり閉めた場合、当該ロックとキャッチの噛み合いが不十分となることがある。そのため、そのままの状態で使用を続けると、最悪の場合、走行時の振動などで噛み合いが外れ、非常扉が開放するおそれがある。
  車体後面に設けている観音開き扉のロックシステムにおいて、キャッチと噛み合うロックをもどすばねの押しもどし力の設定及びウェザーストリップの反力が不適切なため、扉をゆっくり閉めた場合、当該ロックとキャッチの噛み合い代が不十分となることがある。そのため、そのままの状態で使用を続けると、最悪の場合、走行時の振動などで噛み合いが外れ、観音開き扉が開放するおそれがある。"
"213","バスの非常口横の前転倒式座席において、座席を固定するピンの保持力が弱い、また、転倒防止金具の取付けバラツキにより掛かり代が不足しているものがある。
  そのため、急ブレーキにより乗客が後方より当該座席に倒れかかるとヒンジの固定が外れ、最悪の場合、座席が転倒するおそれがある。"
"214","４バック式空気ばね緩衝装置付車両の後車軸を車枠に固定するＶロッド中央部のボールジョイント部において、ナットが十分に締め付けられていなかったものがあり、そのままの状態で使用を続けると、走行中の振動、荷重で当該ナットが緩み、脱落することがある。また、当該ボールジョイント部の防水性が不足しているため、水が内部に浸入して錆が発生し、そのままの状態で使用を続けると、樹脂ベアリングが摩耗してがたが発生することがある。
  そのため、Ｖロッドから車軸が離脱し、後車軸が横方向にずれて操縦安定性が損なわれたり、タイヤホイールが車体と接触し、最悪の場合、火災が発生するおそれがある。"
"215","車軸組立の際、前輪ハブ外側軸受け部のロックナット締付けが不適切なもの及び前輪ハブ胴部のグリース充填量が不足しているものがある。
  そのため、当該軸受けが締付不良または、潤滑不良により発熱、破損し、最悪の場合、走行不能または、火災に至るおそれがある。"
"216","車軸組立の際、前輪ハブ外側軸受け部のロックナット締付けが不適切なもの及び前輪ハブ外側軸受け部と前輪ハブ胴部のグリース充填量が不足しているものがある。
  そのため、当該軸受けが締付不良または、潤滑不良により発熱、破損し、最悪の場合、走行不能または、火災に至るおそれがある。"
"217","エンジン制御用電気配線において、配線被覆の耐摩耗性が不足しているため、エンジン振動等により、電気配線の屈曲部の配線被覆が電気配線保護管（コルゲートチューブ）と擦れて摩耗損傷するものがある。
  そのため、そのままの状態で使用を続けると、電気配線がショートまたは断線してエンジンが停止し、最悪の場合、再始動できなくなるおそれがある。"
"218","燃料噴射ポンプの燃料噴射量を制御するラックの切欠き溝の強度が不十分なため、及び燃料噴射ポンプの原動機への取付方法が不適切なため、高回転域での使用を続けると当該ラックが折損し、エンジン回転が上昇して、最悪の場合、火災に至るおそれがある。"
"219","ナックルアームのボールスタッドの強度が不足しているため、据切りの多用や操舵頻度の高い走行を繰り返すと、当該ボールスタッドに亀裂が発生するものがある。そのため、そのままの状態で使用を続けると、最悪の場合、ボールスタッドが折損して操舵不能となるおそれがある。"
"220","駐車ブレーキ（ホイールパーキングブレーキ）用エア配管（ナイロンチューブ）の取り回しに余裕がないため、走行時やハイトコントロール作動時のリヤーアクスルの上下動により、当該ナイロンチューブとＶロッドが干渉するものがある。そのため、そのまま使用を続けると、当該ナイロンチューブが損傷して穴が開いて、エアが漏れるおそれがある。"
"221","駐車ブレーキソレノイドバルブ用電気配線の保護及び固定方法が不適切なため、走行中の振動等により当該電気配線が、フィルタ取付用ブラケットと干渉し、電気配線が損傷し、短絡するものがある。そのため最悪の場合、走行中に駐車ブレーキが作動するおそれがある。駐車ブレーキ用ソレノイドバルブの耐水構造が不適切なため、内部に水が浸入し、ソレノイドコイルの腐食によりコイルが短絡し、作動しなくなるものがある。そのため最悪の場合、走行中に駐車ブレーキが作動するおそれがある。"
"222","前照灯スイッチにおいて、接点しゅう動部の潤滑用グリスに不適切なものが混入したため、使用過程で磨耗紛、または潤滑用グリスの酸化物が当該しゅう動部に生成し、接点部の接触抵抗が増大することがある。そのため、そのまま使用すると、前照灯が点灯しなくなるおそれがある。"
"223","原動機の排気弁駆動用カム軸製造時の加工不良により、当該排気弁駆動用カム軸に傷（油穴用ボス（突起）部）が付いたものがあり、このままの状態で使用を続けると、最悪の場合、排気弁駆動用カム軸が折損し、排気弁の開閉ができなくなり、原動機が停止し、再始動できなくなるおそれがある。"
"224","車室内電気配線の固定が不適切な為、組付け作業のバラツキにより、フードロックリリースハンドルブラケットとの隙間が狭いものがあり、ブラケットの固定ネジで被覆を傷つけたものがある。そのため、走行中の振動で当該配線と固定ネジが干渉し、最悪の場合、配線がショートしてヒューズが切れ、方向指示器不灯，速度計作動不良等となるおそれがある。"
"225","ラジエータホースとウォータパイプを接続固定するホースクランプの固定位置が不適切なため、当該ホースのウォータパイプへの保持力が不足し冷却水が漏れるものがある。そのため、最悪の場合、オーバーヒートに至るおそれがある。"
"226","ラジエータアッパーホース長に対するホースクランプの方式が不適切なため、当該ホースの挿入パイプへの保持力が不足しているものがある。そのため、エンジン挙動によりラジエータホースへ引き抜き力が作用し、最悪の場合、ホースが抜け、冷却水漏れによりオーバーヒートに至るおそれがある。"
"227","製造工程において作業管理が不適切なため、燃料タンク取付けナットのトルク確認作業が実施されていないものがある。そのため、当該ナットの締付けが不十分な場合、そのままの状態で使用を続けると当該ナットが緩み、燃料タンクの取付け部付近に亀裂が発生して燃料が漏れ、最悪の場合、燃料タンクが脱落するおそれがある。"
"228","ディーゼルエンジンの手動変速機を搭載している教習車において、前部排気管の構造が不適切なため、エンスト時のエンジン振動により当該パイプ蛇腹部に高い応力が発生する場合がある。そのため、エンストの繰り返しにより当該蛇腹部に亀裂が入り、騒音が増大するおそれがある。"
"229","左右燃料タンクとキャニスタを接続するために取り付けているロールオーバーシャットオフバルブ（前側）のホースの長さが不適切なため、そのまま使用を続けると、当該ホースを取り付けた際に発生する応力により、当該ホースが折損することがある。そのため、エンジン警告等が点灯するとともに、燃料蒸発ガスが漏れ出し、最悪の場合、火災に至るおそれがある。"
"230","ＡＢＳ（アンチロックブレーキシステム）及び坂道発進補助装置（ＥＺＧＯ：イージーゴー）装着車両において、油圧制御装置内部の加工に不適切なものがあるため、そのままの状態で使用を続けると、ＡＢＳ作動後の制動時にブレーキペダルの踏み込みが深くなり、最悪の場合、後輪の制動が効かなくなり、制動力が低下するおそれがある。"
"231","後２軸トラックの後々軸（非駆動軸）においてリヤばねズレ止めの形状が不適切なため、高重心積載状態で急旋回を行った場合、リヤばねが当該ズレ止めから外れ、車両が傾き、最悪の場合、走行安定性が損なわれるおそれがある。"
"232","エンジンを支持しているエンジンリヤマウントにおいて､防振ゴム部の強度が不足しているため､発進加速時のエンジン回転方向の揺動の繰返しにより、当該マウントのゴム部に亀裂が発生し、破断することがある。そのため、そのまま使用を続けると、エンジンフロントマウントも損傷し、最悪の場合、変速機操作力伝達機構の原動機側支持部が外れて、変速操作が出来なくなるおそれがある。"
"233","燃料噴射ポンプの噴射管を固定するゴム付金具の締付構造が不適切なため、当該金具のゴムが劣化すると取付ボルト、ナットが弛み、当該金具及びボルト、ナットが脱落することがある。そのため、脱落したボルト、ナットがスタータモーターと端子の間に挟まるとショートし、最悪の場合、スタータハーネスが損傷し始動不能となる、又は火災に至るおそれがある。"
"234","制動装置において、ブレーキシューの加熱処理が不適切なため、ブレーキシューとライニングの接着が不十分なものがある。そのため、ブレーキ操作を繰り返すとライニングが剥がれ、制動力が低下するおそれがある。"
"235","前後車輪のハブナットの締付け力の設定が不適切なため、走行中にハブナットが緩むものがある。そのため、そのまま走行を続けると、最悪の場合ハブナットが脱落し、タイヤが脱落して走行不能に至るおそれがある。"
"236","リヤ・アクスル・シャフトのホイール・ハブ側ジョイント部の形状が不適切なため、走行時の負荷が当該ジョイント部の根元に集中し、根元部分に亀裂が発生するものがある。そのため、そのままの状態で使用を続けると、当該ジョイント部が折損して走行不能となるおそれがある。"
"237","制動灯スイッチに、車両製作工程において不適切な潤滑剤を吹き付けていたものがある。そのため、使用過程で潤滑剤成分の一部が酸化し、接点部の接触抵抗が増大して導通不良となり、制動灯が点灯しなくなるおそれがある。"
"238","四輪駆動車において、前側推進軸と前輪差動装置を締結しているボルトの締結力に対して、入力されるトルクが高いため、当該ボルトが緩むことがある。そのため、異音が発生し、そのまま使用を続けると、全ての当該ボルトが緩み、前側推進軸が外れるおそれがある。"
"239","生産工場での燃料ホース検査工程において、燃料ポンプの樹脂パイプ部に不適切な力をかけて検査していたため、当該パイプ部に微細な亀裂が発生しているものがある。そのため、そのまま使用を続けると、当該パイプが破損し、燃料が漏れるおそれがある。"
"240","圧縮天然ガス車の燃料減圧装置（レギュレータ）において、高圧側減圧器内部のバルブシート部の寸法およびオーリングの硬度が不適切なため、当該オーリングが変形又は破損することがある。そのため、燃料ガスが高圧のまま低圧側減圧器に流出し、安全弁から外部に漏れるおそれがある。"
"241","低床式後２軸駆動車の後前軸と後後軸間の推進軸の接手（コンパニオンフランジ）において、噛み合い部分の隙間が不適切なため、後後軸ピニオンギヤシャフトのスプライン部が摩耗しキャッスルナットに緩みが生じるものがある、又は、キャッスルナットの締付けが不適切なため、当該シャフトの軸受け間カラー部に摩耗が生じ、軸受けが損傷しキャッスルナットに緩みが生じるものがある。そのため、そのままの状態で使用を続けると、キャッスルナットの回り止めの割ピンが折損してコンパニオンフランジが抜け出し、またはピニオンシャフトが折損し、最悪の場合、当該推進軸が脱落して走行不能となるおそれがある。"
"242","駐車ブレーキケーブルのセンターブレーキ側ケーブルエンド（センターブレーキレバーとの接続固定用ケーブル先端部の金具）の形状が不適切なため、ケーブルエンドがレバーの溝に斜めに嵌まるおそれがある。そのため､そのままの状態で使用するとケーブル先端が屈曲、疲労切損し、最悪の場合、駐車時に制動力が確保できなくなるおそれがある。"
"243","スプリング式駐車ブレーキ装着車において、スプリングを格納している容器（チャンバー）内部の寸法ならびにスプリングの台座形状が不適切なため、スプリング圧縮（駐車ブレーキ開放）時にスプリング同士又はスプリングとチャンバー本体が干渉し、スプリングの塗装が剥がれ、錆びが発生するものがある。そのため、そのままの状態で使用を続けると、最悪の場合、当該部分でスプリングが折損し、駐車ブレーキの効きが悪くなる、又は折損したスプリング端部でダイアフラムが損傷すると、エア洩れが発生し、駐車ブレーキが解除できなくなるおそれがある。"
"244","スプリング式駐車ブレーキ装着車において、ブレーキシューを拡張するウェッジ先端部のローラの熱処理が不適切、または、当該ウェッジの構成部品の組付けが不適切なため、ウエッジが破損して、最悪の場合、駐車ブレーキが作動不良となり、駐車制動力が低下するおそれがある。"
"245","圧縮天然ガス車の燃料減圧装置（レギュレータ）において、高圧側減圧器内部のバルブシート部の寸法およびオーリングの硬度が不適切なため、当該オーリングが変形又は破損することがある。そのため、燃料ガスが高圧のまま低圧側減圧器に流出し、安全弁から外部に漏れるおそれがある。"
"246","車枠に取付けられているヒートプロテクタ取付金具の形状が不適切なため、強度が不足しており、走行中の振動等により金具が折損して、ヒートプロテクタがブレーキパイプと接触することがある。そのため、そのまま使用を続けるとブレーキパイプが損傷し、ブレーキ液が漏れて制動力が低下するおそれがある。"
"247","右ブレーキペダルとブレーキリンクの連結ピンの抜け防止用スナップピンとブレーキペダルサポートとの隙間が不適切であるため、ブレーキ操作時に当該ピンと当該サポートが干渉することにより、スナップピンが脱落することがある。そのため、そのまま使用を続けると、連結ピンが脱落し、ブレーキ操作時に右ブレーキが作動しなくなり、かじ取り性能が損なわれるおそれがある。"
